superseded_canonical_id,retained_canonical_id,merge_type,status,co_occurs_in_same_analysis_matrix,superseded_definition,retained_definition,rationale
MC0627,MC0446,wording_variant,applied_phase4_DE12,no,"Humerus, anterior surface of distal lateral condyle: divided by a notch, forming two ridges (0); un- divided (1) (D’Emic, 2012).","Humerus, radial and ulnar condyles, shape: radial condyle divided on anterior face by a notch (0); undivided (1).",Definition-level match: the anterior surface of the distal lateral/radial humeral condyle is divided by a notch into two ridges versus undivided; M19/M26 cite D'Emic (2012).
MC0759,MC0449,ratio_formalized,applied_phase4_DE12,no,"Metacarpals, metacarpal V, ratio of proximal end long-axis diameter to that of metacarpal I: less than 1.0 (0); 1.0 or greater (1) (D’Emic, 2012; Poropat et al., 2016).","Metacarpal V, proximal end, size: much smaller than proximal end of metacarpal I (0); sub- equal to or larger than proximal end of metacar- pal I (1).",Same metacarpal-V proximal-end size relative to metacarpal I. DE12 uses qualitative smaller versus subequal/larger states; M19/M26 express the same relation as a V:I ratio.
MC0636,MC0450,wording_variant,applied_phase4_DE12,no,"Metacarpals, distal articular surfaces: ex- tend onto dorsal/anterior surface of metacarpal (0); restricted to distal surface (except sometimes in meta- carpal IV) (1) (Salgado et al., 1997; D’Emic, 2012).","Metacarpals, distal articular facets, shape: present and extend well onto external/ anterior face of bone (0); reduced almost entirely to distal face of the bone except in metatarsal IV (1). (Modified from Wilson, 2002.)",Same extent of metacarpal distal articular surfaces onto the dorsal/anterior face versus restriction to the distal face; M19/M26 cite D'Emic (2012).
MC0496,MC0452,threshold_modified,applied_phase4_DE12,no,"Ilium, pubic peduncle (measured at the ar- ticular surface), anteroposterior to mediolateral width ratio: greater than 0.5 (0); 0.5 or less (1) (Taylor, 2009; Mannion et al., 2013).","Ilium, pubic peduncle, shape: anteroposterior and transverse dimensions subequal (0); trans- verse dimension more than 1.5 times anteropos- terior dimension (1).",Same anteroposterior:mediolateral proportions of the iliac pubic peduncle; later matrices use a numeric ratio threshold.
MC0645,MC0453,wording_refined,applied_phase4_DE12,no,"Ischium, acetabular margin, in lateral view: flat or mildly concave (0); strongly concave, such that the pubic articular surface forms an anterodorsal pro- jection (1) (D’Emic, 2012; Mannion et al., 2013).","Ischium, acetabular margin, shape: margin forms short, obtuse angle (0); margin strongly embayed, forming acute angle with tall iliac peduncle (1).",Same ischial acetabular-margin concavity/embayment; M19/M26 explicitly cite D'Emic (2012).
MC0649,MC0456,wording_refined,applied_phase4_DE12,no,"Femur, proximodistally elongate midline ridge (linea intermuscularis cranialis) on anterior face, extending along most of shaft length: absent (0); pre- sent (1) (Otero, 2010; D’Emic, 2012).","Femur, longitudinal ridge on anterior face: absent (0); present (1). (Otero, 2010.)","Same longitudinal anterior femoral ridge (linea intermuscularis cranialis), absent versus present; M19/M26 cite Otero (2010) and D'Emic (2012)."
MC0653,MC0457,wording_refined,applied_phase4_DE12,no,"Fibula, proximal end with anteromedialy directed crest extending into a notch behind the cne- mial crest of the tibia: absent (0); present (1) (Wilson & Upchurch, 2009; D’Emic, 2012; Mannion et al., 2013).","Fibula, proximal end, anterior crest: absent or poorly developed (0); well developed, creat- ing interlocking proximal crus (1). (Modified from Royo-Torres, 2009; Wilson & Upchurch, 2009.)",Same proximal fibular anterior/anteromedial crest that interlocks behind the tibial cnemial crest; M19/M26 cite Wilson & Upchurch (2009) and D'Emic (2012).
MC0655,MC0459,wording_variant,applied_phase4_DE12,no,"Fibula, shaft in lateral view: straight (0); sig- moidal (1) (Canudo et al., 2008; Royo-Torres, 2009).","Fibula, shaft, shape: straight (0); sigmoid, such that proximal and distal faces are angled relative to midshaft (1). (Royo-Torres, 2009.)",Same fibular shaft shape in lateral view: straight versus sigmoidal.
MC0663,MC0463,wording_refined,applied_phase4_DE12,no,"Metatarsals, medial surface of the proximal portion of metatarsal IV concave (for reception of metatarsal III): absent (0); present (1) (D’Emic et al., 2011; D’Emic, 2012).","Metatarsal IV, proximomedial end, shape: flat or slightly convex (0); possesses a distinct embay- ment (1).",Same proximomedial metatarsal-IV concavity/embayment for reception of metatarsal III; M19/M26 cite D'Emic et al. (2011) and D'Emic (2012).
MC0526,MC0264,states_collapsed,applied_phase5_GA11,no,"Tooth crowns, shape in labial view: spatulate or ‘spoon’-like (i.e. constricted at the base relative to midheight of the crown) (0); parallel-sided (i.e. little expansion above the root) (1) (Calvo, 1994; Upchurch, 1998).",Tooth shape: spoon-like (0); compressed cone chisel-like (1); pen- cil chisel-like (2) (modified from Calvo 1994 by Calvo and Gon- zález Riga 2003).,"Both descend from the Calvo tooth-crown shape lineage. GA11 separates spoon-like, compressed chisel-like and pencil chisel-like states; M19/M26 collapse the non-spatulate conditions."
MC0795,MC0267,wording_refined,applied_phase5_GA11,no,"Posterior cervical neural spines, dorsal half laterally expanded as a result of expansion of the lateral lamina (spinodiapophyseal lamina?): absent (0); present (1) (González Riga, 2005; González Riga et al., 2009, 2018; Gallina, 2011; González Riga & Ortiz David, 2014).",Posterior cervical neural spines lateraly expanded and wider than the centra: absent (0); present (1) (González Riga 2005).,Same posterior-cervical neural-spine lateral expansion described by González Riga (2005); M19/M26 explicitly cite Gallina (2011) among the lineage sources.
MC0794,MC0270,states_collapsed,applied_phase5_GA11,no,"Posterior cervical neural arches, spinodiapo- physeal fossa, at base of lateral surface of neural spine: absent or shallow fossa (0); deep fossa (1) (González Riga, 2005; González Riga et al., 2009, 2018).",Supradiapophyseal fossa in posterior cervical vertebrae: absent (0); shallow or reduced (1); deep and extended (2) (González Riga 2005).,"Same posterior-cervical spinodiapophyseal/supradiapophyseal fossa depth variable; GA11 has absent, shallow and deep states whereas M19/M26 collapse absent+shallow."
MC0570,MC0273,threshold_reexpressed,applied_phase5_GA11,no,"Anterior dorsal neural spines, orientation of anterior margin in lateral view: inclined anteriorly or vertical (0); posterodorsally inclined (1) (Upchurch et al., 2004; Mannion et al., 2013; revised here to clarify character statement).",Anterior dorsal neural spines inclined posteriorly more than 20 de- gree from vertical: absent (0); present (1) (modified from Wilson and Sereno 1998).,Same anterior-dorsal neural-spine inclination variable. GA11 uses a >20° posterior-inclination threshold; M19/M26 contrast anterior/vertical with posterodorsally inclined.
MC0597,MC0286,threshold_and_scope_modified,applied_phase5_GA11,no,"Middle–posterior caudal neural arches, distance that prezygapophyses extend beyond the anterior margin of the centrum: less than 20% of cen- trum length (excluding ball), short prezygapophyses (0); 20% or greater of centrum length (excluding ball), elongate prezygapophyses (1) (González Riga, 2003; Mannion et al., 2013; note that in taxa without anteri- orly biased neural arches this prezygapophyseal ex- tension is extrapolated as if the arch was anteriorly positioned on the centrum).",Length proportions of prezygapophyses with respect to the centrum length in middle caudal vertebrae: shorter than 50% (0); between 40 to 50% (1); longer than 50% (2) (modified from González Riga 2003).,Same relative length of middle-caudal prezygapophyses from the González Riga (2003) lineage; later matrices use a lower 20% threshold and extend the scope into posterior caudals.
MC0483,MC0290,threshold_modified,applied_phase5_GA11,no,"Humerus, maximum mediolateral width of proximal end divided by proximodistal length: 0.4 or greater (0); less than 0.4 (1) (Mannion et al., 2013).","Humerus, breadth of proximal end with respect to the total length: less (0); or more (1) than the 50% (González Riga 2003).",Same maximum proximal humeral breadth divided by humeral length; GA11 uses 0.50 and M19/M26 use 0.40.
MC0745,MC0292,wording_variant,applied_phase5_GA11,no,"Sternal plate, shape of posterior margin in dorsal/ventral view: convex (0); straight (1) (González Riga, 2003; González Riga et al., 2009).",Semilunar sternal plate with straight posterior border: absent (0); present (1) (González Riga 2003).,Same González Riga sternal-plate posterior-margin character: straight versus non-straight/convex.
MC0640,MC0298,wording_refined,applied_phase5_GA11,no,"Ilium, preacetabular process orientation: lies in an approximately vertical plane (0); turns laterally towards its ventral tip to form a horizontal portion (1) (McIntosh, 1990; Powell, 1992; Upchurch, 1995, 1998).",Orientation of preacetabular lobe of ilium: nearly vertical (0); nearly horizontal and laterally projected (1) (Salgado et al. 1997).,Same orientation of the iliac preacetabular process/lobe from near-vertical to laterally turned/horizontal; the later wording specifies the ventral portion more explicitly.
MC0351,MC0273,state_partition_modified,applied_final_v1_freeze,no,Orientation of spinous processes of cranial thoracic vertebrae (U158) / dorsal_or_caudodorsal craniodorsal,Anterior dorsal neural spines inclined posteriorly more than 20 de- gree from vertical: absent (0); present (1) (modified from Wilson and Sereno 1998).,"Both score cranial/anterior dorsal neural-spine orientation. C12 separates craniodorsal inclination from dorsal/caudodorsal, whereas GA11 separates strong posterior inclination from the remaining orientations. The underlying orientation variable is the same."
MC0855,MC0111,serial_scope_and_threshold_modified,applied_final_v1_freeze,no,"Posterior dorsal and/or sacral neural spines, dorsoventral height to centrum length ratio: 2.0 or greater (0); less than 2.0 (2) (Upchurch, 1998; Wilson, 2002; polarity reversed here).","Sacral neural spines, length: approximately twice (0) or four times (1) length of centrum.",Both derive from the Wilson/Upchurch neural-spine-height lineage and measure neural-spine height relative to centrum length. M19/M26 broaden the serial scope from sacrals to posterior dorsals and/or sacrals and repartition the threshold states.
MC0474,MC0366,metric_reformulated,applied_final_v1_freeze,no,"Anteriormost caudal centra, lowest average Elongation Index [aEI; centrum anteroposterior length (excluding articular ball) divided by the mean average value of the anterior surface mediolateral width and dorsoventral height] value of: less than 0.6 (0); 0.6 or greater (1) (Gauthier, 1986; Upchurch, 1995, 1998; Upchurch et al., 2004; Mannion et al., 2013; revised here to only include the anteriormost caudal vertebrae).",Ratio of proximodistal length:dorsoventral height of proximal caudal vertebral body (U177) / '>=0.6' '<0.6',Both quantify elongation of the proximal/anteriormost caudal centrum. C12 uses length:dorsoventral-height; M19/M26 use average elongation index with mean width/height in the denominator and restrict scoring to the anteriormost caudals.
MC0476,MC0368,metric_reformulated,applied_final_v1_freeze,no,"Middle caudal centra, average Elongation Index [aEI; centrum anteroposterior length (excluding articular ball) divided by the mean average value of the anterior surface mediolateral width and dorsoven- tral height (excluding chevron facets)] value: less than 1.4 (0); 1.4 or higher (1) (Upchurch & Martin, 2003; Upchurch et al., 2004; Whitlock, 2011a; Mannion et al., 2013).",Ratio of vertebral body length:height in middle caudal vertebrae (U179) / '<2.0' '>=2.0',Both quantify middle-caudal centrum elongation. C12 uses length:height; M19/M26 use average elongation index and a different threshold.
MC0637,MC0448,character_reformulated,applied_final_v1_freeze,no,"Metacarpals, metacarpal IV has a prominent proximolateral projection that wraps around the dorsal (anterior) face of metacarpal V (metacarpal IV often forms a chevron shape in proximal end view): absent (0); present (1) (D’Emic, 2012; Mannion et al., 2013).","Metacarpal IV, articulation for metacarpal V, shape: anteroposteriorly long, broad articular surface (0); articular surface forms a near right angle, transverse and anteroposterior dimen- sions of proximal end subequal (1).",M19/M26 explicitly cite D'Emic (2012) for the metacarpal-IV/V articulation. DE12 describes the facet geometry; the later formulation operationalizes the derived morphology as a proximolateral projection of metacarpal IV wrapping onto metacarpal V.
MC0658,MC0462,character_reformulated,applied_final_v1_freeze,no,"Astragalus, posterior margin bears a tongue- like projection posteromedial to the ascending process, which is separated from the latter by a groove: present (0); absent (1) (D’Emic, 2012; Mannion et al., 2013).","Astragalus, posterior end of proximal face, tubercle: present (0); absent (1).",M19/M26 explicitly cite D'Emic (2012) for this posterior astragalar projection. The DE12 'tubercle' and later tongue-like posteromedial projection are treated as successive formulations of the same anatomical character.
